6	0
9	3
30	3
35	7
49	7
54	11
68	11
73	12
92	12
96	0
112	0
117	5
140	5
145	8
170	8
172	9
206	9
210	11
223	11
228	9
239	9
243	12
261	12
265	0
288	0
292	4
298	4
300	0
319	0
324	3
348	3
350	0
383	0
387	3
409	3
414	1
433	1
438	8
460	8
465	10
480	10
483	13
499	13
504	15
536	15
539	17
550	17
555	20
569	20
573	3
590	3
593	0
602	0
604	1
628	1
633	8
643	8
646	12
679	12
683	13
692	13
697	18
722	18
727	20
775	20
779	1
786	1
789	0
833	0
835	2
849	2
852	0
948	0
952	4
977	4
981	0
994	0
997	1
1003	1
1005	0
1062	0
1067	4
1095	4
1100	6
1119	6
1123	10
1136	10
1140	12
1145	12
1149	0
1174	0
1176	1
1191	1
1194	0
1224	0
1227	3
1245	3
1249	0
1266	0
1270	4
1289	4
1292	6
1315	6
1320	9
1336	9
1338	5
1363	5
1366	6
1399	6
1402	7
1427	7
1432	8
1442	8
1447	10
1472	10
1477	15
1494	15
1497	16
1514	16
1516	18
1593	18
1596	20
1632	20
1636	0
1729	0
1733	3
1746	3
1748	4
1755	4
1760	5
1783	5
1788	6
1802	6
1804	3
1820	3
1824	6
1877	6
1880	9
1902	9
1905	8
1932	8
1936	9
1953	9
1958	14
1965	14
1968	17
1988	17
1993	5
2004	5
2009	0
2061	0
2066	7
2088	7
2093	8
2098	8
2100	0
2118	0
2121	4
2142	4
2144	6
2167	6
2171	3
2188	3
2191	0
2202	0
2207	6
2228	6
2233	9
2252	9
2256	10
2281	10
2286	12
2293	12
2297	7
2321	7
2326	9
2378	9
2381	12
2406	12
2410	17
2439	17
2444	20
2575	20
2578	2
2587	2
2591	4
2607	4
2611	0
2635	0
2639	5
2646	5
2648	0
2677	0
2680	2
2686	2
2691	0
2719	0
2723	3
2743	3
2747	0
2836	0
2839	1
2871	1
2875	4
2899	4
2903	6
2926	6
2929	7
2938	7
2943	0
2960	0
2962	2
2968	2
2970	4
2989	4
2992	7
3010	7
3012	9
3020	9
3023	13
3029	13
3032	16
3040	16
3044	20
3124	20
3127	7
3146	7
3149	10
3167	10
3171	14
3183	14
3185	7
3201	7
3204	8
3209	8
3214	0
3240	0
3245	1
3255	1
3257	0
3271	0
3274	1
3298	1
3301	2
3325	2
3329	4
3352	4
3356	6
3380	6
3384	3
3405	3
3409	0
3426	0
3430	3
3461	3
3466	8
3474	8
3478	9
3493	9
3498	7
3505	7
3508	9
3530	9
3535	11
3540	11
3545	0
3567	0
3572	3
3589	3
3591	4
3636	4
3641	7
3659	7
3662	0
3695	0
3699	2
3724	2
3727	3
3752	3
3755	4
3775	4
3777	6
3792	6
3796	9
3819	9
3822	11
3846	11
3848	12
3868	12
3872	0
3883	0
3888	2
3903	2
3906	6
